__IATA__	__ICAO__	__airport name__	__place name__
SRC	KSRC	Searcy Municipal Airport	Searcy, Arkansas, United States
SRQ	KSRQ	Sarasota-Bradenton International Airport	Sarasota, Florida (near Bradenton, Florida|Bradenton), United States
SRV		Stony River 2 Airport	Stony River, Alaska, United States
SRW	KRUQ	Rowan County Airport (FAA: RUQ)	Salisbury, North Carolina, United States
SSC	KSSC	Shaw Air Force Base	Sumter, South Carolina, United States
SSF	KSSF	Stinson Municipal Airport	San Antonio, Texas, United States
SSI	KSSI	Malcolm McKinnon Airport	Brunswick, Georgia, United States
STC	KSTC	St. Cloud Regional Airport	St. Cloud, Minnesota, United States
STE	KSTE	Stevens Point Municipal Airport	Stevens Point, Wisconsin, United States
STG	PAPB	St. George Airport (Alaska)|St. George Airport (FAA: PBV)	St. George, Alaska, United States
STJ	KSTJ	Rosecrans Memorial Airport	St. Joseph, Missouri, United States
STK	KSTK	Sterling Municipal Airport	Sterling, Colorado, United States
STL	KSTL	Lambert-Saint Louis International Airport	St. Louis, Missouri, United States
STP	KSTP	St. Paul Downtown Airport (Holman Field)	St. Paul, Minnesota, United States
STQ	KOYM	St. Marys Municipal Airport (FAA: OYM)	St. Marys, Pennsylvania, United States
STS	KSTS	Charles M. Schulz Sonoma County Airport	Santa Rosa, California, United States
STT	TIST	Cyril E. King Airport	Charlotte Amalie, U.S. Virgin Islands|Charlotte Amalie, Saint Thomas, United States Virgin Islands|Saint Thomas, United States Virgin Islands
STX	TISX	Henry E. Rohlsen Airport	Christiansted, U.S. Virgin Islands|Christiansted, Saint Croix, United States Virgin Islands
SUA	KSUA	Witham Field	Stuart, Florida, United States
SUD	KSUD	Stroud Municipal Airport	Stroud, Oklahoma, United States
SUE	KSUE	Door County Cherryland Airport	Sturgeon Bay, Wisconsin, United States
SUM	KSMS	Sumter Airport (FAA: SMS)	Sumter, South Carolina, United States
SUN	KSUN	Friedman Memorial Airport	Hailey, Idaho, United States
SUO		Sunriver Airport (FAA: S21)	Sunriver, Oregon, United States
SUS	KSUS	Spirit of St. Louis Airport	Chesterfield, Missouri, United States
SUU	KSUU	Travis Air Force Base	Fairfield, California, United States
SUW	KSUW	Richard I. Bong Airport	Superior, Wisconsin, United States
SUX	KSUX	Sioux Gateway Airport (Colonel Bud Day Field)	Sioux City, Iowa, United States
SVA	PASA	Savoonga Airport	Savoonga, Alaska, United States
SVC	KSVC	Grant County Airport (New Mexico)|Grant County Airport	Silver City, New Mexico, United States
SVE	KSVE	Susanville Municipal Airport	Susanville, California, United States
SVH	KSVH	Statesville Regional Airport	Statesville, North Carolina, United States
SVN	KSVN	Hunter Army Airfield	Savannah, Georgia, United States
SVS		Stevens Village Airport	Stevens Village, Alaska, United States
SVW	PASV	Sparrevohn LRRS Airport	Sparrevohn, Alaska|Sparrevohn, Alaska, United States
SWD	PAWD	Seward Airport	Seward, Alaska, United States
SWF	KSWF	Stewart International Airport	Newburgh, New York, United States
SWO	KSWO	Stillwater Regional Airport	Stillwater, Oklahoma, United States
SWW	KSWW	Avenger Field	Sweetwater, Texas, United States
SXP		Sheldon Point Airport	Sheldon Point, Alaska, United States
SXQ	PASX	Soldotna Airport	Soldotna, Alaska, United States
SXY		Sidney Municipal Airport (FAA: N23)	Sidney, New York, United States
SYA	PASY	Eareckson Air Station	Shemya, Alaska, United States
SYI	KSYI	Shelbyville Municipal Airport (Tennessee)|Shelbyville Municipal Airport (Bomar Field)	Shelbyville, Tennessee, United States
SYL	KSYL	Roberts Army Heliport	Camp Roberts, San Luis Obispo County, California, United States
SYN	KSYN	Stanton Airfield	Stanton, Minnesota, United States
SYR	KSYR	Syracuse Hancock International Airport	Mattydale, New York|Mattydale (near Syracuse, New York|Syracuse), New York, United States
SYV	KSYV	Sylvester Airport	Sylvester, Georgia, United States
SZL	KSZL	Whiteman Air Force Base	Knob Noster, Missouri, United States
SZN	KSZN	Santa Cruz Island Airport	Santa Barbara, California, United States
SZP	KSZP	Santa Paula Airport	Santa Paula, California, United States
TAD	KTAD	Perry Stokes Airport	Trinidad, Colorado, United States
TAL	PATA	Ralph M. Calhoun Memorial Airport	Tanana, Alaska, United States
TBN	KTBN	Waynesville-St. Robert Regional Airport (Forney Field)	Fort Leonard Wood, Missouri, United States
TBR	KTBR	Statesboro-Bulloch County Airport	Statesboro, Georgia, United States
TCC	KTCC	Tucumcari Municipal Airport	Tucumcari, New Mexico, United States
TCL	KTCL	Tuscaloosa Regional Airport	Tuscaloosa, Alabama, United States
TCM	KTCM	McChord Air Force Base	Tacoma, Washington, United States
TCS	KTCS	Truth or Consequences Municipal Airport	Truth or Consequences, New Mexico, United States
TCT		Takotna Airport	Takotna, Alaska, United States
TDO	KTDO	South Lewis County Airport (Ed Carlson Memorial Field)	Toledo, Washington, United States
TDW	KTDW	Tradewind Airport	Amarillo, Texas, United States
TDZ	KTDZ	Metcalf Field	Toledo, Ohio, United States
TEB	KTEB	Teterboro Airport	Teterboro, New Jersey, United States
TEK		Tatitlek Airport (FAA: 7KA)	Tatitlek, Alaska, United States
TEX	KTEX	Telluride Regional Airport	Telluride, Colorado, United States
TGE		Sharpe Field (FAA: AL73)	Tuskegee, Alabama, United States
THA	KTHA	Tullahoma Regional Airport (William Northern Field)	Tullahoma, Tennessee, United States
THP	KTHP	Hot Springs County-Thermopolis Municipal Airport	Thermopolis, Wyoming, United States
THV	KTHV	York Airport (Pennsylvania)|York Airport	York, Pennsylvania, United States
TIK	KTIK	Tinker Air Force Base	Oklahoma City, Oklahoma, United States
TIW	KTIW	Tacoma Narrows Airport	Tacoma, Washington, United States
TIX	KTIX	Space Coast Regional Airport	Titusville, Florida, United States
TKA	PATK	Talkeetna Airport	Talkeetna, Alaska, United States
TKF	KTRK	Truckee-Tahoe Airport (FAA: TRK)	Truckee, California, United States
TKI		Tokeen Seaplane Base (FAA: 57A)	Tokeen, Alaska, United States
TKJ	PATJ	Tok Airport	Tok, Alaska, United States
TLA	PATE	Teller Airport (FAA: TER)	Teller, Alaska, United States
TLF		Telida Airport (FAA: 2K5)	Telida, Alaska, United States
TLH	KTLH	Tallahassee Regional Airport	Tallahassee, Florida, United States
TLJ	PATL	Tatalina LRRS Airport	Takotna, Alaska, United States
TLR	KTLR	Mefford Field	Tulare, California, United States
TLT		Tuluksak Airport	Tuluksak, Alaska, United States
TMA	KTMA	Henry Tift Myers Airport	Tifton, Georgia, United States
TMB	KTMB	Kendall-Tamiami Executive Airport	Miami, Florida, United States
TNC	PATC	Tin City LRRS Airport	Tin City, Alaska, United States
TNI	PGWT	Tinian International Airport	Tinian Island, Northern Mariana Islands, United States
TNK		Tununak Airport (FAA: 4KA)	Tununak, Alaska, United States
TNP	KTNP	Twentynine Palms Airport	Twentynine Palms, California, United States
TNT	KTNT	Dade-Collier Training and Transition Airport	Miami, Florida, United States
TNU	KTNU	Newton Municipal Airport (Iowa)|Newton Municipal Airport	Newton, Iowa, United States
TOA	KTOA	Zamperini Field	Torrance, California, United States
TOC	KTOC	Toccoa Airport (R.G. LeTourneau Field)	Toccoa, Georgia, United States
TOG	PATG	Togiak Airport	Togiak Village, Alaska, United States
TOI	KTOI	Troy Municipal Airport	Troy, Alabama, United States
TOL	KTOL	Toledo Express Airport	Toledo, Ohio, United States
TOP	KTOP	Philip Billard Municipal Airport	Topeka, Kansas, United States
TOR	KTOR	Torrington Municipal Airport	Torrington, Wyoming, United States
TPA	KTPA	Tampa International Airport	Tampa, Florida, United States
TPF	KTPF	Peter O. Knight Airport	Tampa, Florida, United States
TPH	KTPH	Tonopah Airport	Tonopah, Nevada, United States
TPL	KTPL	Draughon-Miller Central Texas Regional Airport	Temple, Texas, United States
TRH		Trona Airport (FAA: L72)	Trona, California, United States
TRI	KTRI	Tri-Cities Regional Airport	Blountville, Tennessee (Tri-Cities, Tennessee|Tri-Cities area), United States
TRL	KTRL	Terrell Municipal Airport	Terrell, Texas, United States
TRM	KTRM	Jacqueline Cochran Regional Airport	Palm Springs, California, United States
TRX	KTRX	Trenton Municipal Airport (Missouri)|Trenton Municipal Airport	Trenton, Missouri, United States
TSG		Tanacross Airport	Tanacross, Alaska, United States
TSM	KSKX	Taos Regional Airport (FAA: SKX)	Taos, New Mexico, United States
TSP	KTSP	Tehachapi Municipal Airport	Tehachapi, California, United States
TSS		East 34th Street Heliport (FAA: 6N5)	New York City, United States
TTD	KTTD	Portland-Troutdale Airport	Portland, Oregon, United States
TTN	KTTN	Trenton-Mercer Airport	Trenton, New Jersey, United States
TTO	KBTN	Britton Municipal Airport (FAA: BTN)	Britton, South Dakota, United States
TUL	KTUL	Tulsa International Airport	Tulsa, Oklahoma, United States
TUP	KTUP	Tupelo Regional Airport	Tupelo, Mississippi, United States
TUS	KTUS	Tucson International Airport	Tucson, Arizona, United States
TVC	KTVC	Cherry Capital Airport	Traverse City, Michigan, United States
TVF	KTVF	Thief River Falls Regional Airport	Thief River Falls, Minnesota, United States
TVI	KTVI	Thomasville Regional Airport	Thomasville, Georgia, United States
TVL	KTVL	Lake Tahoe Airport	South Lake Tahoe, California, United States
TWA		Twin Hills Airport (FAA: A63)	Twin Hills, Alaska, United States
TWD		Jefferson County International Airport (FAA: 0S9)	Port Townsend, Washington, United States
TWE		Taylor Airport (Alaska)|Taylor Airport (FAA: AK49)	Taylor, Alaska, United States
TWF	KTWF	Magic Valley Regional Airport (Joslin Field)	Twin Falls, Idaho, United States
TXK	KTXK	Texarkana Regional Airport (Webb Field)	Texarkana, Arkansas, United States
TYE		Tyonek Airport	Tyonek, Alaska, United States
TYR	KTYR	Tyler Pounds Regional Airport	Tyler, Texas, United States
TYS	KTYS	McGhee Tyson Airport	Knoxville, Tennessee, United States
TYZ	KTYL	Taylor Airport (Arizona)|Taylor Airport (FAA: TYL)	Taylor, Arizona, United States
UBS	KUBS	Columbus-Lowndes County Airport	Columbus, Mississippi, United States
UCA	KUCA	Oneida County Airport	Utica, New York, United States
UCC	KUCC	Yucca Airstrip (FAA: NV11)	Mercury, Nevada, United States
UCE		Eunice Airport (FAA: 4R7)	Eunice, Louisiana, United States
UCY	KUCY	Everett-Stewart Airport	Union City, Tennessee, United States
UDD	KUDD	Bermuda Dunes Airport	Palm Springs, California, United States
UES	KUES	Waukesha County Airport	Waukesha, Wisconsin, United States
UGB		Ugashik Bay Airport	Pilot Point, Alaska, United States
UGN	KUGN	Waukegan Regional Airport	Chicago, Illinois|Chicago / Waukegan, Illinois, United States
UGS		Ugashik Airport (FAA: 9A8)	Ugashik, Alaska, United States
UIL	KUIL	Quillayute Airport	Forks, Washington, United States
UIN	KUIN	Quincy Regional Airport (Baldwin Field)	Quincy, Illinois, United States
UKI	KUKI	Ukiah Municipal Airport	Ukiah, California, United States
UKN		Waukon Municipal Airport (FAA: Y01)	Waukon, Iowa, United States
UKT	KUKT	Quakertown Airport	Quakertown, Pennsylvania, United States
ULM	KULM	New Ulm Municipal Airport	New Ulm, Minnesota, United States
UMM	PAST	Summit Airport (Alaska)|Summit Airport	Summit, Alaska|Summit, Alaska, United States
UMT	PAUM	Umiat Airport	Umiat, Alaska, United States
UNK	PAUN	Unalakleet Airport	Unalakleet, Alaska, United States
UNU	KUNU	Dodge County Airport	Juneau, Wisconsin, United States
UOS	KUOS	Franklin County Airport (Tennessee)|Franklin County Airport	Sewanee, Tennessee, United States
UOX	KUOX	University-Oxford Airport	Oxford, Mississippi, United States
UPP	PHUP	Upolu Airport	Hawi, Hawaii, United States
USC		Union County Airport (South Carolina)|Union County Airport (Troy Shelton Field) (FAA: 35A)	Union, South Carolina, United States
UST	KSGJ	St. Augustine Airport (FAA: SGJ)	St. Augustine, Florida, United States
UTM	KUTA	Tunica Municipal Airport (FAA: UTA)	Tunica, Mississippi, United States
UTO	PAIM	Indian Mountain LRRS Airport	Utopia Creek, Alaska|Utopia Creek, Alaska, United States
UUK	PAKU	Ugnu-Kuparuk Airport (FAA: UBW)	Kuparuk, Alaska|Kuparuk, Alaska, United States
UVA	KUVA	Garner Field	Uvalde, Texas, United States
UWA		Ware Airport (FAA: MA53)	Ware, Massachusetts, United States
VAD	KVAD	Moody Air Force Base	Valdosta, Georgia, United States
VAK	PAVA	Chevak Airport	Chevak, Alaska, United States
VBG	KVBG	Vandenberg Air Force Base	Lompoc, California, United States
VCB	KVCB	Nut Tree Airport	Vacaville, California, United States
VCT	KVCT	Victoria Regional Airport	Victoria, Texas, United States
VCV	KVCV	Southern California Logistics Airport	Victorville, California, United States
VDI	KVDI	Vidalia Regional Airport	Vidalia, Georgia, United States
VDZ	PAVD	Valdez Airport (Pioneer Field)	Valdez, Alaska, United States
VEE	PAVE	Venetie Airport	Venetie, Alaska, United States
VEL	KVEL	Vernal Airport	Vernal, Utah, United States
VEX		Tioga Municipal Airport (FAA: D60)	Tioga, North Dakota, United States
VGT	KVGT	North Las Vegas Airport	North Las Vegas, Nevada, United States
VHN	KVHN	Culberson County Airport	Van Horn, Texas, United States
VIH	KVIH	Rolla National Airport	Rolla, Missouri, United States
VIS	KVIS	Visalia Municipal Airport	Visalia, California, United States
VJI	KVJI	Virginia Highlands Airport	Abingdon, Virginia, United States
VKS	KVKS	Vicksburg Municipal Airport	Vicksburg, Mississippi, United States
VLA	KVLA	Vandalia Municipal Airport	Vandalia, Illinois, United States
VLD	KVLD	Valdosta Regional Airport	Valdosta, Georgia, United States
VLE		Valle Airport (FAA: 40G)	Grand Canyon, Arizona, United States
VNC	KVNC	Venice Municipal Airport	Venice, Florida, United States
VNY	KVNY	Van Nuys Airport	Van Nuys, California, United States
VOK	KVOK	Volk Field	Camp Douglas, Wisconsin, United States
VPS	KVPS	Northwest Florida Regional Airport / Eglin Air Force Base	Valparaiso, Florida|Valaparaiso (near Fort Walton Beach, Florida|Fort Walton Beach), Florida, United States
VPZ	KVPZ	Porter County Municipal Airport	Valparaiso, Indiana, United States
VQS	TJVQ	Antonio Rivera Rodriguez Airport	Vieques, Puerto Rico, United States
VRB	KVRB	Vero Beach Municipal Airport	Vero Beach, Florida, United States
VRS		Roy Otten Memorial Airfield (FAA: 3VS)	Versailles, Missouri, United States
VSF	KVSF	Hartness State Airport	Springfield, Vermont, United States
VTN	KVTN	Miller Field (airport)|Miller Field	Valentine, Nebraska, United States
VYS	KVYS	Illinois Valley Regional Airport (Walter A. Duncan Field)	Peru, Illinois, United States
WAA	PAIW	Wales Airport (Alaska)|Wales Airport (FAA: IWK)	Wales, Alaska, United States
WAH	KBWP	Harry Stern Airport (FAA: BWP)	Wahpeton, North Dakota, United States
WAL	KWAL	Wallops Flight Facility Airport	Wallops Island, Virginia, United States
WAS		All Airports	Washington, D.C., United States
WAY	KWAY	Greene County Airport (Pennsylvania)|Greene County Airport	Waynesburg, Pennsylvania, United States
WBB		Stebbins Airport	Stebbins, Alaska, United States
WBQ	PAWB	Beaver Airport	Beaver, Alaska, United States
WBR	KRQB	Roben-Hood Airport (FAA: RQB)	Big Rapids, Michigan, United States
WBU	KBDU	Boulder Municipal Airport (FAA: BDU)	Boulder, Colorado, United States
WBW	KWBW	Wilkes-Barre Wyoming Valley Airport	Wilkes-Barre, Pennsylvania, United States
WCR	PALR	Chandalar Lake Airport	Chandalar Lake, Alaska, United States
WDG	KWDG	Enid Woodring Regional Airport	Enid, Oklahoma, United States
WDR	KWDR	Barrow County Airport	Winder, Georgia, United States
WEA	KWEA	Parker County Airport	Weatherford, Texas, United States
WFB		Ketchikan Harbor Seaplane Base (FAA: 5KE)	Ketchikan, Alaska, United States
WFK	KFVE	Northern Aroostook Regional Airport (FAA: FVE)	Frenchville, Maine, United States
WGO	KOKV	Winchester Regional Airport (FAA: OKV)	Winchester, Virginia, United States
WHD		Hyder Seaplane Base (FAA: 4Z7)	Hyder, Alaska, United States
WHP	KWHP	Whiteman Airport	Los Angeles, California, United States
WHT	KARM	Wharton Regional Airport (FAA: ARM)	Wharton, Texas, United States
WJF	KWJF	General William J. Fox Airfield	Lancaster, California, United States
WKK		Aleknagik Airport (FAA: 5A8)	Aleknagik, Alaska, United States
WKL		Waikoloa Heliport (FAA: HI07)	Waikoloa Village, Hawaii, United States
WLD	KWLD	Strother Field	Winfield, Kansas|Winfield/Arkansas City, Kansas, United States
WLK	PASK	Selawik Airport	Selawik, Alaska, United States
WLM		Prospect Hill Heliport (FAA: MA92)	Waltham, Massachusetts, United States
WLR		Loring Seaplane Base (FAA: 13Z)	Loring, Alaska|Loring, Alaska, United States
WLW	KWLW	Willows-Glenn County Airport	Willows, California, United States
WMC	KWMC	Winnemucca Municipal Airport	Winnemucca, Nevada, United States
WMH	KBPK	Ozark Regional Airport (FAA: BPK)	Mountain Home, Arkansas, United States
WMK		Meyers Chuck Seaplane Base (FAA: 84K)	Meyers Chuck, Alaska, United States
WMO	PAWM	White Mountain Airport	White Mountain, Alaska, United States
WNA	PANA	Napakiak Airport	Napakiak, Alaska, United States
WNC		Naukati Bay Seaplane Base (FAA: AK62)	Tuxekan Island, Alaska, United States
WOW	PAUO	Willow Airport (FAA: UUO)	Willow, Alaska, United States
WPO		North Fork Valley Airport (FAA: 7V2)	Paonia, Colorado, United States
WRB	KWRB	Robins Air Force Base	Warner Robins, Georgia, United States
WRG	PAWG	Wrangell Airport	Wrangell, Alaska, United States
WRI	KWRI	McGuire Air Force Base	Wrightstown, New Jersey, United States
WRL	KWRL	Worland Municipal Airport	Worland, Wyoming, United States
WSD	KWSD	Condron Army Airfield	White Sands, New Mexico, United States
WSG	KAFJ	Washington County Airport (Pennsylvania)|Washington County Airport (FAA: AFJ)	Washington, Pennsylvania, United States
WSH	KHWV	Brookhaven Airport (FAA: HWV)	Shirley, New York, United States
WSM		Wiseman Airport	Wiseman, Alaska, United States
WSN	PFWS	South Naknek Nr 2 Airport	South Naknek, Alaska, United States
WST	KWST	Westerly State Airport	Westerly, Rhode Island, United States
WSX		Westsound/WSX Seaplane Base (FAA: WA83)	Westsound, Washington|Westsound, Orcas Island, Washington (U.S. state)|Washington, United States
WTK	PAWN	Noatak Airport	Noatak, Alaska, United States
WTL		Tuntutuliak Airport (FAA: A61)	Tuntutuliak, Alaska, United States
WTR		Whiteriver Airport (FAA: E24)	Whiteriver, Arizona, United States
WVI	KWVI	Watsonville Municipal Airport	Watsonville, California, United States
WVL	KWVL	Waterville Robert LaFleur Airport	Waterville, Maine, United States
WWA	PAWS	Wasilla Airport (FAA: IYS)	Wasilla, Alaska, United States
WWD	KWWD	Cape May Airport	Wildwood, New Jersey, United States
WWP		North Whale Seaplane Base (FAA: 96Z)	North Whale Pass, Alaska, United States
WWR	KWWR	West Woodward Airport	Woodward, Oklahoma, United States
WWT	PAEW	Newtok Airport (FAA: EWU)	Newtok, Alaska, United States
WYB		Yes Bay Lodge Seaplane Base (FAA: 78K)	Yes Bay, Alaska, United States
WYS	KWYS	Yellowstone Airport	West Yellowstone, Montana, United States
XES		Grand Geneva Resort Airport (FAA: C02)	Lake Geneva, Wisconsin, United States
XMD	KMDS	Madison Municipal Airport (South Dakota)|Madison Municipal Airport (FAA: MDS)	Madison, South Dakota, United States
XNA	KXNA	Northwest Arkansas Regional Airport	Fayetteville, Arkansas|Fayetteville/Springdale, Arkansas, United States
XPR	KIEN	Pine Ridge Airport (FAA: IEN)	Pine Ridge, South Dakota, United States
XSD	KTNX	Tonopah Test Range Airport (FAA: TNX)	Tonopah, Nevada, United States
YAK	PAYA	Yakutat Airport	Yakutat, Alaska, United States
YIP	KYIP	Willow Run Airport	Detroit, Michigan, United States
YKM	KYKM	Yakima Air Terminal (McAllister Field)	Yakima, Washington, United States
YKN	KYKN	Chan Gurney Municipal Airport	Yankton, South Dakota, United States
YNG	KYNG	Youngstown-Warren Regional Airport	Youngstown, Ohio|Youngstown/Warren, Ohio, United States
YUM	KNYL	Yuma International Airport / Marine Corps Air Station Yuma|MCAS Yuma (FAA: NYL)	Yuma, Arizona, United States
ZNC		Nyac Airport	Nyac, Alaska|Nyac, Alaska, United States
ZPH	KZPH	Zephyrhills Municipal Airport	Zephyrhills, Florida, United States
ZZV	KZZV	Zanesville Municipal Airport	Zanesville, Ohio, United States
