AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
CPE	MMCP	Ing. Alberto Acuña Ongay International Airport	Campeche, Campeche, Mexico
CPF	WRSC	Cepu Airport	Cepu, Indonesia
CPG		Carmen de Patagones Airport	Carmen de Patagones, Buenos Aires, Argentina
CPH	EKCH	Copenhagen Airport, Kastrup Airport	Copenhagen (København), Denmark
CPL	SKHA	General Navas Pardo Airport	Chaparral, Colombia
CPM	KCPM	Compton/Woodley Airport	Compton, California, United States
CPN		Cape Rodney Airport	Cape Rodney, Papua New Guinea
CPO	SCHA	Chamonate Airport	Copiapó, Atacama Region, Chile
CPP	RPUK	Calapan Airport	Calapan City, Oriental Mindoro, Philippines
CPQ	SDAM	Amarais Airport	Campinas, São Paulo, Brazil
CPR	KCPR	Natrona County International Airport	Casper, Wyoming, United States
CPS	KCPS	St. Louis Downtown Airport	Cahokia, Illinois (near St. Louis, Missouri), United States
CPT	FACT	Cape Town International Airport	Cape Town, South Africa
CPU		Cururupu Airport	Cururupu, Maranhão, Brazil
CPV	SBKG	Presidente Vargas Airport (João Suassuna Airport)	Campina Grande, Paraíba, Brazil
CPX	TJCP	Benjamin Rivera Noriega Airport	Isla de Culebra, Puerto Rico
CQA		Canarana Airport	Canarana, Mato Grosso, Brazil
CQD	OIFS	Shahre-Kord Airport	Shahre-Kord, Iran
CQF	LFAC	Calais - Dunkerque Airport	Calais / Dunkerque, France
CQM	LERL	Ciudad Real Central Airport	Ciudad Real, Spain
CQP		Cape Flattery Airport	Cape Flattery (Queensland)|Cape Flattery, Queensland, Australia
CQS	SWCQ	Costa Marques Airport	Costa Marques, Rondônia, Brazil
CQT		Caquetania Airport	Caquetania, Colombia
CRA	LRCV	Craiova Airport	Craiova, Romania
CRB	YCBR	Collarenebri Airport	Collarenebri, New South Wales, Australia
CRC	SKGO	Santa Ana Airport (Colombia)|Santa Ana Airport	Cartago, Colombia|Cartago, Colombia
CRD	SAVC	General Enrique Mosconi International Airport	Comodoro Rivadavia, Chubut Province|Chubut, Argentina
CRE	KCRE	Grand Strand Airport	North Myrtle Beach, South Carolina, United States
CRF	FEFC	Carnot Airport	Carnot, Central African Republic
CRG	KCRG	Craig Municipal Airport	Jacksonville, Florida, United States
CRH		Cherribah Airport	Cherribah, Queensland, Australia
CRI	MYCI	Colonel Hill Airport (Crooked Island Airport)	Colonel Hill, Crooked Island, Bahamas
CRJ		Coorabie Airport	Coorabie, South Australia, Australia
CRK	RPLC	Clark International Airport|Diosdado Macapagal (Clark) International Airport	Angeles City, Philippines
CRL	EBCI	Brussels South Charleroi Airport	Charleroi, Wallonia, Belgium
CRM	RPVF	Catarman National Airport	Catarman, Northern Samar|Catarman, Northern Samar, Philippines
CRN		Cromarty Airport	Cromarty, Scotland, United Kingdom
CRO	KCRO	Corcoran Airport	Corcoran, California, United States
CRP	KCRP	Corpus Christi International Airport	Corpus Christi, Texas, United States
CRQ	SBCV	Caravelas Airport	Caravelas, Bahia, Brazil
CRR	SANW	Ceres Airport	Ceres, Argentina|Ceres, Santa Fe Province|Santa Fe, Argentina
CRS	KCRS	Corsicana Municipal Airport (C. David Campbell Field)	Corsicana, Texas, United States
CRT	KCRT	Z.M. Jack Stell Field	Crossett, Arkansas, United States
CRU		Carriacou island airport	Carriacou Island, Grenada
CRV	LIBC	Crotone Airport	Crotone, Italy
CRW	KCRW	Yeager Airport	Charleston, West Virginia, United States
CRX	KCRX	Roscoe Turner Airport	Corinth, Mississippi, United States
CRY		Carlton Hill Airport	Carlton Hill, Western Australia|Carlton Hill, Western Australia, Australia
CRZ	UTAV	Turkmenabat Airport	Chardzhou, Turkmenistan
CSA		Colonsay Airport	Colonsay, Inner Hebrides, Scotland, United Kingdom
CSB	LRCS	Caransebes Airport	Caransebes, Romania
CSC		Canas Airport	Canas, Costa Rica
CSD		Cresswell Downs Airport	Cresswell Downs, Northern Territory, Australia
CSE		Buckhorn Ranch Airport (FAA: 0CO2)	Crested Butte, Colorado, United States
CSF	LFPC	Creil Air Base	Creil, France
CSG	KCSG	Columbus Metropolitan Airport	Columbus, Georgia, United States
CSI	YCAS	Casino Airport	Casino, New South Wales, Australia
CSJ		Cape St. Jacques Airport	Cape St. Jacques, Vietnam
CSK	GOGS	Cap Skirring Airport	Cap Skirring, Senegal
CSL	KCSL	O'Sullivan Army Heliport	Camp San Luis Obispo, California, United States
CSM	KCSM	Clinton-Sherman Airport	Clinton, Oklahoma, United States
CSN	KCXP	Carson Airport (FAA: CXP)	Carson City, Nevada, United States
CSO	EDBC	Magdeburg/Cochstedt Airport	Magdeburg, Germany
CSP	PACA	Cape Spencer Coast Guard Heliport	Cape Spencer, Alaska|Cape Spencer, Alaska, United States
CSQ	KCSQ	Creston Municipal Airport	Creston, Iowa, United States
CSR		Casuarito Airport	Casuarito, Colombia
CSS	SSCL	Cassilândia Airport	Cassilândia, Mato Grosso do Sul, Brazil
CST	NFCS	Castaway Island Resort Airport	Qalito, Mamanuca Islands, Fiji
CSV	KCSV	Crossville Memorial-Whitson Field	Crossville, Tennessee, United States
CSW		Colorado do Oeste Airport	Colorado do Oeste, Rondônia, Brazil
CSX	ZGHA	Changsha Huanghua International Airport	Changsha, People's Republic of China|China
CSY	UWKS	Cheboksary Airport	Cheboksary, Chuvashia Republic|Chuvashia, Russia
CSZ	SAZC	Brigadier Hector Eduardo Ruiz Airport	Coronel Suárez, Buenos Aires Province|Buenos Aires, Argentina
CTA	LICC	Catania-Fontanarossa Airport	Catania, Sicily, Italy
CTB	KCTB	Cut Bank Municipal Airport	Cut Bank, Montana, United States
CTC	SANC	Coronel Felipe Varela Airport	San Fernando del Valle de Catamarca|Catamarca, Catamarca Province|Catamarca, Argentina
CTD	MPCE	Herrera Alonso Valderrama Airport	Chitré, Panamá
CTE		Carti Airport	Carti, Panamá
CTF	MGCT	Coatepeque Airport	Coatepeque, Quetzaltenango|Coatepeque, Quetzaltenango Department|Quetzaltenango, Guatemala
CTG	SKCG	Rafael Núñez International Airport	Cartagena, Colombia|Cartagena, Colombia
CTH	KMQS	Chester County G. O. Carlson Airport (FAA: MQS)	Coatesville, Pennsylvania, United States
CTI	FNCV	Cuito Cuanavale Airport	Cuito Cuanavale, Angola
CTK		Canton Municipal Airport (FAA: 7G9)	Canton, South Dakota, United States
CTL	YBCV	Charleville Airport	Charleville, Queensland, Australia
CTM	MMCM	Chetumal International Airport	Chetumal, Quintana Roo, Mexico
CTN	YCKN	Cooktown Airport	Cooktown, Queensland, Australia
CTO		Calverton Executive Airpark (FAA: 3C8)	Calverton, New York, United States
CTP	SNCP	Carutapera Airport	Carutapera, Maranhão, Brazil
CTQ	SSVP	Do Palmar Airport	Santa Vitória, Rio Grande do Sul, Brazil
CTR		Cattle Creek Airport	Cattle Creek, Northern Territory, Australia
CTS	RJCC	Chitose International Airport	Sapporo, Hokkaido, Japan
CTT	LFMQ	Le Castellet Airport	Le Castellet, France
CTU	ZUUU	Chengdu Shuangliu International Airport	Chengdu, Sichuan, People's Republic of China|China
CTW		Cottonwood Airport (FAA: P52)	Cottonwood, Arizona, United States
CTX		Cortland County Airport (Chase Field, FAA: N03)	Cortland, New York, United States
CTY	KCTY	Cross City Airport	Cross City, Florida, United States
CTZ	KCTZ	Sampson County Airport	Clinton, North Carolina, United States
CUA		Ciudad Constitución Airport	Ciudad Constitución, Baja California Sur, México
CUB	KCUB	Columbia Owens Downtown Airport	Columbia, South Carolina, United States
CUC	SKCC	Camilo Daza International Airport	Cúcuta, Colombia
CUD	YCDR	Caloundra Airport	Caloundra, Queensland, Australia
CUE	SECU	Mariscal Lamar Airport	Cuenca, Ecuador|Cuenca, Ecuador
CUF	LIMZ	Levaldigi Airport	Cuneo, Italy
CUG	YCUA	Cudal Airport	Cudal, New South Wales, Australia
CUH	KCUH	Cushing Municipal Airport	Cushing, Oklahoma, United States
CUI		Currillo Airport	Currillo, Colombia
CUJ		Culion Airport	Culion, Palawan, Philippines
CUK		Caye Caulker Airport	Caye Caulker, Belize
CUL	MMCL	Federal de Bachigualato International Airport	Culiacán, Sinaloa, Mexico
CUM	SVCU	Antonio José de Sucre Airport	Cumana, Venezuela
CUN	MMUN	Cancún International Airport	Cancún, Quintana Roo, Mexico
CUO	SKCR	Caruru Airport	Caruru, Colombia
CUP	SVCP	General José Francisco Bermúdez Airport	Carúpano, Venezuela
CUQ	YCOE	Coen Airport	Coen, Queensland, Australia
CUR	TNCC	Hato International Airport	Willemstad, Netherlands Antilles|Willemstad, Curaçao, Netherlands Antilles
CUS		Columbus Municipal Airport (New Mexico)|Columbus Municipal Airport (FAA: 0NM0)	Columbus, New Mexico, United States
CUT	SAZW	Cutral Có Airport	Cutral Có, Neuquén Province|Neuquén, Argentina
CUU	MMCU	General Roberto Fierro Villalobos International Airport	Chihuahua, Chihuahua, Mexico
CUV	SVCG	El Cubo Airport	Casigua, Venezuela
CUX		Cuddihy Field (FAA: 07TE)	Corpus Christi, Texas, United States
CUY	YCUE	Cue Airport	Cue, Western Australia, Australia
CUZ	SPZO	Alejandro Velasco Astete International Airport	Cusco, Cusco Region, Peru
CVB		Chungribu Airport	Chungribu, Papua New Guinea
CVC	YCEE	Cleve Airport	Cleve, South Australia, Australia
CVE	SKCV	Covenas Airport	Covenas, Colombia
CVF	LFLJ	Courchevel Aerodrome	Courchevel, France
CVG	KCVG	Cincinnati/Northern Kentucky International Airport	Hebron, Kentucky (near Cincinnati, Ohio), United States
CVH		Caviahue Airport	Caviahue, Neuquén Province|Neuquén, Argentina
CVI		Caleta Olivia Airport	Caleta Olivia, Santa Cruz Province, Argentina|Santa Cruz, Argentina
CVJ	MMCB	General Mariano Matamoros Airport	Cuernavaca, Morelos, Mexico
CVL		Cape Vogel Airport	Cape Vogel, Papua-New Guinea
CVM	MMCV	General Pedro J. Méndez National Airport	Ciudad Victoria, Tamaulipas, Mexico
CVN	KCVN	Clovis Municipal Airport	Clovis, New Mexico, United States
CVO	KCVO	Corvallis Municipal Airport	Corvallis, Oregon, United States
CVQ	YCAR	Carnarvon Airport	Carnarvon, Western Australia, Australia
CVS	KCVS	Cannon Air Force Base	Clovis, New Mexico, United States
CVT	EGBE	Coventry Airport	Coventry, West Midlands (county)|West Midlands, England, United Kingdom
CVU	LPCR	Corvo Island Airport	Corvo Island, Azores, Portugal
CWA	KCWA	Central Wisconsin Airport	Mosinee, Wisconsin, United States
CWB	SBCT	Afonso Pena International Airport	Curitiba, Paraná (state)|Paraná, Brazil
CWC	UKLN	Chernovtsy Airport	Chernovtsy, Ukraine
CWF	KCWF	Chennault International Airport	Lake Charles, Louisiana, United States
CWI	KCWI	Clinton Municipal Airport (Iowa)|Clinton Municipal Airport	Clinton, Iowa, United States
CWL	EGFF	Cardiff International Airport	Cardiff, Wales, United Kingdom
CWP		Campbellpore Airport	Campbellpore, Pakistan
CWR	YCWI	Cowarie Airport	Cowarie, South Australia, Australia
CWS		Center Island Airport (FAA: 78WA)	Center Island (Washington)|Center Island, Washington (U.S. state)|Washington, United States
CWT	YCWR	Cowra Airport	Cowra, New South Wales, Australia
CWW	YCOR	Corowa Airport	Corowa, New South Wales, Australia
CXA	SVCD	Caicara de Orinoco Airport	Caicara de Orinoco, Venezuela
CXB	VGCB	Cox's Bazar Airport	Cox's Bazar, Bangladesh
CXC		Chitina Airport	Chitina, Alaska, United States
CXF	PACX	Coldfoot Airport	Coldfoot, Alaska, United States
CXH	CYHC	Vancouver Harbour Water Aerodrome (Coal Harbour Seaplane Base)	Vancouver, British Columbia, Canada
CXI	PLCH	Cassidy International Airport	Christmas Island, Kiribati
CXJ	SBCX	Aeroporto Hugo Cantergiani	Caxias do Sul, Rio Grande do Sul, Brazil
CXL	KCXL	Calexico International Airport	Calexico, California, United States
CXM	FNCX	Camaxilo Airport	Camaxilo, Angola
CXN	HCMC	Candala Airport	Candala, Somalia
CXO	KCXO	Lone Star Executive Airport	Houston, Texas, United States
CXP	WIHL	Tunggul Wulung Airport	Cilacap, Java Island, Indonesia
CXQ	YCRK	Christmas Creek Airport	Christmas Creek Station, Western Australia, Australia
CXR	VVCR	Cam Ranh International Airport	Cam Ranh, Khanh Hoa, Vietnam
CXT	YCHT	Charters Towers Airport	Charters Towers, Queensland, Australia
CXY	MYCC	Cat Cay Airport	Cat Cay, Bimini Islands, Bahamas
CYA	MTCA	Les Cayes Airport	Les Cayes, Haiti
CYB	MWCB	Gerrard Smith International Airport	Cayman Brac, Cayman Islands
CYC		Caye Chapel Airport	Caye Chapel, Belize
CYF	PACK	Chefornak Airport (FAA: CFK)	Chefornak, Alaska, United States
CYG	YCRG	Corryong Airport	Corryong, Victoria, Australia
CYI	RCKU	Chiayi Airport	Chiayi, Taiwan
CYL		Coyoles Airport	Coyoles, Honduras
CYM		Chatham Seaplane Base	Chatham, Alaska|Chatham, Alaska, United States
CYO	MUCL	Vilo Acuña Airport	Cayo Largo del Sur, Cuba
CYP	RPVC	Calbayog Airport	Calbayog City, Samar, Philippines
CYR	SUCA	Laguna de Los Patos International Airport	Colonia, Uruguay
CYS	KCYS	Cheyenne Regional Airport (Jerry Olson Field)	Cheyenne, Wyoming, United States
CYT	PACY	Yakataga Airport	Cape Yakataga, Alaska|Cape Yakataga, Alaska, United States
CYU	RPLO	Cuyo Airport	Cuyo, Palawan|Cuyo, Palawan, Philippines
CYW	MMCY	Captain Rogelio Castillo National Airport	Celaya, Guanajuato, Mexico
CYX	UESS	Cherskiy Airport	Cherskiy, Sakha Republic|Yakutia, Russia
CYZ	RPUY	Cauayan Airport	Cauayan City, Isabela (province)|Isabela, Philippines
CZA	MMCT	Chichen Itza International Airport	Chichén Itzá, Yucatán, Mexico
CZB		Carlos Ruhl Airport	Cruz Alta, Rio Grande do Sul, Brazil
CZC		Copper Center 2 Airport (FAA: Z93)	Copper Center, Alaska, United States
CZE	SVCR	José Leonardo Chirinos Airport	Santa Ana de Coro, Venezuela
CZF	PACZ	Cape Romanzof Long Range Radar Station	Cape Romanzof, Alaska|Cape Romanzof, Alaska, United States
CZH		Corozal Airport	Corozal, Belize
CZJ		Corazon de Jesus Airport	Corazon de Jesus, Panamá
CZK	KCZK	Cascade Locks State Airport	Cascade Locks, Oregon, United States
CZL	DABC	Mohamed Boudiaf International Airport	Constantine, Algeria
CZM	MMCZ	Cozumel International Airport	Cozumel, Quintana Roo, Mexico
CZN		Chisana Airport	Chisana, Alaska, United States
CZO		Chistochina Airport	Chistochina, Alaska, United States
CZP		Cape Pole Seaplane Base (FAA: Z71)	Cape Pole, Alaska|Cape Pole, Alaska, United States
CZS	SBCZ	Cruzeiro do Sul International Airport	Cruzeiro do Sul, Acre, Brazil
CZT	KCZT	Dimmit County Airport	Carrizo Springs, Texas, United States
CZU	SKCZ	Las Brujas Airport (Colombia)|Las Brujas Airport	Corozal, Colombia
CZW	EPCH	Rudniki Airport	Czestochowa, Poland
CZX	ZSCG	Changzhou Benniu Airport	Changzhou, Jiangsu, People's Republic of China|China
CZY	YUNY	Cluny Airport	Cluny, Queensland|Cluny, Queensland, Australia
DAA	KDAA	Davison Army Airfield	Fort Belvoir, Virginia, United States
DAB	KDAB	Daytona Beach International Airport	Daytona Beach, Florida, United States
DAC	VGZR	Shahjalal International Airport	Dhaka, Bangladesh
DAD	VVDN	Da Nang International Airport	Da Nang, Vietnam
DAE	VEDZ	Daporijo Airport	Daporijo, Arunachal Pradesh, India
DAF		Daup Airport	Daup, Papua New Guinea
DAG	KDAG	Barstow-Daggett Airport	Daggett, California, United States
DAH		Dathina Airport	Dathina, Yemen
DAJ		Dauan Airport	Dauan, Queensland, Australia
DAK	HEDK	Dakhla Oasis Airport	Dakhla Oasis, Egypt
DAL	KDAL	Dallas Love Field	Dallas, Texas, United States
DAM	OSDI	Damascus International Airport	Damascus, Syria
DAN	KDAN	Danville Regional Airport	Danville, Virginia, United States
DAP	VNDL	Darchula Airport	Darchula, Nepal
DAR	HTDA	Dar es Salaam Airport	Dar es Salaam, Tanzania
DAT	ZBDT	Datong Airport	Datong, Shanxi, China
DAU	AYDU	Daru Airport	Daru, Western Province (Papua New Guinea)|Western Province, Papua New Guinea
DAV	MPDA	Enrique Malek International Airport	David, Panama|David, Chiriquí Province, Panama
DAX	ZUDX	Dachuan Airport (Daxian Airport)	Dazhou, Sichuan, China
DAY	KDAY	James M. Cox International Airport	Dayton, Ohio, United States
DAZ	OADZ	Darwaz Airport	Darwaz, Badakhshan, Afghanistan
DBA	OPDB	Dalbandin Airport	Dalbandin, Pakistan
DBD	VEDB	Dhanbad Airport	Dhanbad, India
DBM	HADM	Debre Marcos Airport	Debre Marcos, Ethiopia
DBN	KDBN	W. H. 'Bud' Barron Airport	Dublin, Georgia, United States
DBO	YSDU	Dubbo Airport	Dubbo, New South Wales, Australia
DBP		Debepare Airport	Debepare, Papua New Guinea
DBQ	KDBQ	Dubuque Regional Airport	Dubuque, Iowa, United States
DBS		Dubois Municipal Airport (FAA: U41)	Dubois, Idaho, United States
DBT	HADT	Debre Tabor Airport	Debre Tabor, Ethiopia
DBV	LDDU	Dubrovnik Airport	Dubrovnik, Dubrovnik-Neretva County, Croatia
DBY	YDAY	Dalby Airport	Dalby, Queensland, Australia
DCA	KDCA	Ronald Reagan Washington National Airport	Arlington County, Virginia (near Washington, D.C.), United States
DCF	TDCF	Canefield Airport	Canefield, Dominica
DCI	LIED	Rafsu Decimomannu Airport	Sardinia, Italy
DCK		Dahl Creek Airport	Dahl Creek, Alaska, United States
DCM	LFCK	Castres-Mazamet Airport	Castres, Languedoc, France
DCR	KDCR	Decatur Hi-Way Airport (closed)	Decatur, Indiana, United States
DCT	MYRD	Duncan Town Airport	Duncan Town, Ragged Island, Bahamas
DCU	KDCU	Pryor Field Regional Airport	Decatur, Alabama, United States
DDC	KDDC	Dodge City Regional Airport	Dodge City, Kansas, United States
DDG	ZYDD	Dandong Airport	Dandong, China
DDI		Daydream Island Resort Airport	Daydream Island Resort, Queensland, Australia
DDM		Dodoima Airport	Dodoima, Papua New Guinea
DDN	YDLT	Delta Downs Airport	Delta Downs, Queensland, Australia
DDP		Dorado Beach Airport	Dorado, Puerto Rico
DDU	OPDD	Dadu Airport	Dadu, Pakistan
DEA	OPDG	Dera Ghazi Khan Airport	Dera Ghazi Khan, Pakistan
DEB	LHDC	Debrecen Airport	Debrecen, Hajdú-Bihar, Hungary
DEC	KDEC	Decatur Airport	Decatur, Illinois, United States
DED	VIDN	Dehradun Airport	Dehradun, Uttarakhand, India
DEF	OIAD	Dezful Airport	Dezful, Iran
DEH	KDEH	Decorah Municipal Airport	Decorah, Iowa, United States
DEI	FSSD	Denis Island Airport	Denis Island, Seychelles
DEL	VIDP	Indira Gandhi International Airport	Delhi, India
DEM	HADD	Dembidolo Airport	Dembidolo, Ethiopia
DEN	KDEN	Denver International Airport (succeeded Stapleton Airport)	Denver, Colorado, United States
DEP	VADZ	Deparizo Airport	Deparizo, India
DER		Derim Airport	Derim, Papua-New Guinea
DES	FSDR	Desroches Airport	Desroches Island, Seychelles
DET	KDET	Coleman A. Young International Airport	Detroit, Michigan, United States
DEZ	OSDZ	Deir ez-Zor Airport (Al Jafrah Airport)	Deir ez-Zor (Deirezzor), Syria
DFI	KDFI	Defiance Memorial Airport	Defiance, Ohio, United States
DFP		Drumduff Airport	Drumduff, Queensland, Australia
DFW	KDFW	Dallas-Fort Worth International Airport	Dallas, Texas|Dallas and Fort Worth, Texas, United States
DGA		Dangriga Airport	Dangriga, Belize
DGC		Degahbur Airport	Degahbur, Ethiopia
DGE	YMDG	Mudgee Airport	Mudgee, New South Wales, Australia
DGL	KDGL	Douglas Municipal Airport (Arizona)|Douglas Municipal Airport	Douglas, Arizona, United States
DGN	KNDY	Dahlgren Naval Surface Warfare Center (FAA: NDY)	Dahlgren, Virginia, United States
DGO	MMDO	General Guadalupe Victoria International Airport	Durango, Durango, Mexico
DGP	EVDA	Daugavpils International Airport	Daugavpils, Latvia
DGR	NZDA	Dargaville Airport	Dargaville, New Zealand
DGT	RPVD	Sibulan Airport|Sibulan (Dumaguete) Airport	Sibulan, Negros Oriental, Philippines
DGU	DFOD	Dedougou Airport	Dédougou, Burkina Faso
DGW	KDGW	Converse County Airport	Douglas, Wyoming, United States
DGX	EGDX	RAF St Athan	St Athan, Wales, United Kingdom
DHA	OEDR	Dhahran International Airport	Dhahran, Saudi Arabia
DHD	YDRH	Durham Downs Airport	Durham Downs, Queensland, Australia
DHF	OMAM	Al Dhafra Airport	Al Dhafra, United Arab Emirates
DHI	VNDH	Dhangarhi Airport	Dhangarhi, Nepal
DHL	ODAL	Dhala Airport	Dhala, Yemen
DHM	VIGG	Gaggal Airport	Kangra, Himachal Pradesh, India
DHN	KDHN	Dothan Regional Airport	Dothan, Alabama, United States
DHR	EHKD	De Kooy Airport	Den Helder, Netherlands
DHT	KDHT	Dalhart Municipal Airport	Dalhart, Texas, United States
DIB	VEMN	Dibrugarh Airport (Chabua Airport)	Dibrugarh, India
DIC	WPDH	City Heliport	Dili, East Timor (Timor-Leste)
DIE	FMNA	Arrachart Airport	Antsiranana, Madagascar
DIG	ZPDQ	Diqing Airport	Diqing, Yunnan, China
DIJ	LFSD	Dijon-Bourgogne Airport	Dijon, France
DIK	KDIK	Theodore Roosevelt Regional Airport	Dickinson, North Dakota, United States
DIL	WPDL	Presidente Nicolau Lobato International Airport	Dili, East Timor (Timor-Leste)
